hts8,brief_description
2013002,"High-qual. beef cuts, boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"
2013002,"High-qual. beef cuts, boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"
2013004,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"
2013004,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"
2013006,"Bovine meat cuts, boneless, not processed, fresh or chld., descr in gen. note 15 of the HTS"
2013006,"Bovine meat cuts, boneless, not processed, fresh or chld., descr in gen. note 15 of the HTS"
2013010,"High-qual. beef cuts, boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2013010,"High-qual. beef cuts, boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2013030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2013030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2013050,"Bovine meat cuts, boneless, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2013050,"Bovine meat cuts, boneless, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"
2013080,"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"
2013080,"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"
2021005,"Bovine carcasses and halves, frozen, descr. in gen. note 15 of the HTS"
2021005,"Bovine carcasses and halves, frozen, descr. in gen. note 15 of the HTS"
2021010,"Bovine carcasses and halves, frozen, descr. in add. US note 3 to Ch. 2"
2021010,"Bovine carcasses and halves, frozen, descr. in add. US note 3 to Ch. 2"
2021050,"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2"
2021050,"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2"
2022002,"High-qual. beef cuts w/bone in, processed, frozen, descr in gen. note 15 of the HTS"
2022002,"High-qual. beef cuts w/bone in, processed, frozen, descr in gen. note 15 of the HTS"
2022004,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in gen. note 15 of the HTS"
2022004,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in gen. note 15 of the HTS"
2022006,"Bovine meat cuts, w/bone in, not processed, frozen, descr in gen. note 15 of the HTS"
2022006,"Bovine meat cuts, w/bone in, not processed, frozen, descr in gen. note 15 of the HTS"
2022010,"High-qual. beef cuts, w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2"
2022010,"High-qual. beef cuts, w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2"
2022030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2"
2022030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2"
2022050,"Bovine meat cuts, w/bone in, not processed, frozen, descr in add. US note 3 to Ch. 2"
2022050,"Bovine meat cuts, w/bone in, not processed, frozen, descr in add. US note 3 to Ch. 2"
2022080,"Bovine meat cuts, w/bone in, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
2022080,"Bovine meat cuts, w/bone in, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
2023002,"High-qual. beef cuts, boneless, processed, frozen, descr in gen. note 15 of the HTS"
2023002,"High-qual. beef cuts, boneless, processed, frozen, descr in gen. note 15 of the HTS"
2023004,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in gen. note 15 of the HTS"
2023004,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in gen. note 15 of the HTS"
2023006,"Bovine meat cuts, boneless, not processed, frozen, descr in gen. note 15 of the HTS"
2023006,"Bovine meat cuts, boneless, not processed, frozen, descr in gen. note 15 of the HTS"
2023010,"High-qual. beef cuts, boneless, processed, frozen, descr in add. US note 3 to Ch. 2"
2023010,"High-qual. beef cuts, boneless, processed, frozen, descr in add. US note 3 to Ch. 2"
2023030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in add. US note 3 to Ch. 2"
2023030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in add. US note 3 to Ch. 2"
2023050,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"
2023050,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"
2023080,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
2023080,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"
2031100,"Carcasses and half-carcasses of swine, fresh or chilled"
2031210,"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in"
2031210,"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in"
2031290,"Fresh or chilled hams, shoulders and cuts thereof, with bone in, other than processed"
2031920,"Meat of swine nesoi, retail cuts, fresh or chilled"
2031920,"Meat of swine nesoi, retail cuts, fresh or chilled"
2031940,"Meat of swine, nesoi, non retail cuts, fresh or chilled"
2032100,"Carcasses and half-carcasses of swine, frozen"
2032210,"Frozen retail cuts of hams, shoulders and cuts thereof, with bone in"
2032210,"Frozen retail cuts of hams, shoulders and cuts thereof, with bone in"
2032290,"Frozen hams, shoulders and cuts thereof, with bone in, other than retail cuts"
2032920,"Frozen retail cuts of meat of swine, nesoi"
2032920,"Frozen retail cuts of meat of swine, nesoi"
2032940,"Frozen meat of swine, other than retail cuts, nesoi"
2041000,"Carcasses and half-carcasses of lamb, fresh or chilled"
2041000,"Carcasses and half-carcasses of lamb, fresh or chilled"
2042100,"Carcasses and half-carcasses of sheep, other than lamb, fresh or chilled"
2042100,"Carcasses and half-carcasses of sheep, other than lamb, fresh or chilled"
2042220,"Cuts of lamb meat with bone in, fresh or chilled"
2042220,"Cuts of lamb meat with bone in, fresh or chilled"
2042240,"Cuts of sheep meat with bone in, nesoi, fresh or chilled"
2042240,"Cuts of sheep meat with bone in, nesoi, fresh or chilled"
2042320,"Boneless meat of lamb, fresh or chilled"
2042320,"Boneless meat of lamb, fresh or chilled"
2042340,"Boneless meat of sheep, nesoi, fresh or chilled"
2042340,"Boneless meat of sheep, nesoi, fresh or chilled"
2043000,"Carcasses and half-carcasses of lamb, frozen"
2043000,"Carcasses and half-carcasses of lamb, frozen"
2044100,"Carcasses and half-carcasses of sheep, other than lamb, frozen"
2044100,"Carcasses and half-carcasses of sheep, other than lamb, frozen"
2044220,"Cuts of lamb meat with bone in, frozen"
2044220,"Cuts of lamb meat with bone in, frozen"
2044240,"Cuts of sheep meat with bone in, nesoi, frozen"
2044240,"Cuts of sheep meat with bone in, nesoi, frozen"
2044320,"Boneless meat of lamb, frozen"
2044320,"Boneless meat of lamb, frozen"
2044340,"Boneless meat of sheep, nesoi, frozen"
2044340,"Boneless meat of sheep, nesoi, frozen"
2045000,"Meat of goats, fresh, chilled or frozen"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
2061000,"Edible offal of bovine animals, fresh or chilled"
2062100,"Tongues of bovine animals, frozen"
2062200,"Livers of bovine animals, frozen"
2062900,"Edible offal of bovine animals, except tongues or livers, frozen"
2063000,"Edible offal of swine, fresh or chilled"
2064100,"Livers of swine, frozen"
2064900,"Edible offal of swine, except liver, frozen"
2068000,"Edible offal of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
2069000,"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen"
2071100,"Chickens, not cut in pieces, fresh or chilled"
2071100,"Chickens, not cut in pieces, fresh or chilled"
2071200,"Chickens, not cut in pieces, frozen"
2071200,"Chickens, not cut in pieces, frozen"
2071300,"Cuts and offal of chickens, fresh or chilled"
2071300,"Cuts and offal of chickens, fresh or chilled"
2071400,"Cuts and offal of chickens, frozen"
2071400,"Cuts and offal of chickens, frozen"
2072400,"Turkeys, not cut in pieces, fresh or chilled"
2072400,"Turkeys, not cut in pieces, fresh or chilled"
2072520,"Turkeys, not cut in pieces, valued less than 88 cents/kg, frozen"
2072520,"Turkeys, not cut in pieces, valued less than 88 cents/kg, frozen"
2072540,"Turkeys, not cut in pieces, valued 88 cents or more per kg, frozen"
2072540,"Turkeys, not cut in pieces, valued 88 cents or more per kg, frozen"
2072600,"Cuts and offal of turkeys, fresh or chilled"
2072600,"Cuts and offal of turkeys, fresh or chilled"
2072700,"Cuts and offal of turkeys, frozen"
2072700,"Cuts and offal of turkeys, frozen"
2074100,"Ducks, not cut in pieces, fresh or chilled"
2074100,"Ducks, not cut in pieces, fresh or chilled"
2074200,"Ducks, not cut in pieces, frozen"
2074200,"Ducks, not cut in pieces, frozen"
2074300,"Fatty livers of ducks, fresh or chilled"
2074300,"Fatty livers of ducks, fresh or chilled"
2074400,"Cuts and offal, other than fatty livers, of ducks, fresh or chilled"
2074400,"Cuts and offal, other than fatty livers, of ducks, fresh or chilled"
2074500,"Cuts and offal of ducks, frozen"
2074500,"Cuts and offal of ducks, frozen"
2075100,"Geese, not cut in pieces, fresh or chilled"
2075100,"Geese, not cut in pieces, fresh or chilled"
2075200,"Geese, not cut in pieces, frozen"
2075200,"Geese, not cut in pieces, frozen"
2075300,"Fatty livers of geese, fresh or chilled"
2075300,"Fatty livers of geese, fresh or chilled"
2075400,"Cuts and offal, other than fatty livers, of geese, fresh or chilled"
2075400,"Cuts and offal, other than fatty livers, of geese, fresh or chilled"
2075500,"Cuts and offal of geese, frozen"
2075500,"Cuts and offal of geese, frozen"
2076010,"Guinea fowls, not cut in pieces, fresh or chilled"
2076010,"Guinea fowls, not cut in pieces, fresh or chilled"
2076020,"Guinea fowls, not cut in pieces, frozen"
2076020,"Guinea fowls, not cut in pieces, frozen"
2076030,"Fatty livers of guinea fowls, fresh or chilled"
2076030,"Fatty livers of guinea fowls, fresh or chilled"
2076040,"Cuts and offal, other than fatty livers, of guinea fowls, fresh or chilled"
2076040,"Cuts and offal, other than fatty livers, of guinea fowls, fresh or chilled"
2076060,"Cuts and offal of guinea fowls, frozen"
2076060,"Cuts and offal of guinea fowls, frozen"
2081000,"Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen"
2081000,"Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen"
2083000,"Meat and edible meat offal of primates, fresh, chilled or frozen"
2083000,"Meat and edible meat offal of primates, fresh, chilled or frozen"
2084001,"Meat and edible meat offal of whales, dolphins, porpoises, manatees, dugongs, seals, seal lions or walruses, fresh, chilled or frozen"
2084001,"Meat and edible meat offal of whales, dolphins, porpoises, manatees, dugongs, seals, seal lions or walruses, fresh, chilled or frozen"
2085000,"Meat and edible meat offal of reptiles, fresh, chilled or frozen"
2085000,"Meat and edible meat offal of reptiles, fresh, chilled or frozen"
2086000,"Meat and edible meat offal of camels and other camelids, fresh, chilled or frozen"
2086000,"Meat and edible meat offal of camels and other camelids, fresh, chilled or frozen"
2089020,"Meat and edible offal of deer, fresh, chilled or frozen"
2089025,"Frog legs, fresh, chilled or frozen"
2089030,"Fresh, chilled or frozen quail, eviscerated, not in pieces"
2089030,"Fresh, chilled or frozen quail, eviscerated, not in pieces"
2089091,"Other meat and edible meat offal not elsewhere specified or included, fresh, chilled or frozen"
2089091,"Other meat and edible meat offal not elsewhere specified or included, fresh, chilled or frozen"
2091000,"Pig fat, free of lean meat,  fresh, chilled, frozen, salted, in brine, dried or smoked"
2091000,"Pig fat, free of lean meat,  fresh, chilled, frozen, salted, in brine, dried or smoked"
2099000,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
2099000,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
2101100,"Hams, shoulders and cuts thereof with bone in, salted, in brine, dried or smoked"
2101100,"Hams, shoulders and cuts thereof with bone in, salted, in brine, dried or smoked"
2101200,"Bellies (streaky) and cuts thereof of swine, salted, in brine, dried or smoked"
2101200,"Bellies (streaky) and cuts thereof of swine, salted, in brine, dried or smoked"
2101900,"Meat of swine other than hams, shoulders, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked"
2101900,"Meat of swine other than hams, shoulders, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked"
2102000,"Meat of bovine animals, salted, in brine, dried or smoked"
2109100,"Meat and edible offal of primates, salted, in brine, dried or smoked; edible flours and meals thereof"
2109100,"Meat and edible offal of primates, salted, in brine, dried or smoked; edible flours and meals thereof"
2109201,"Meat, edible offal, & meals of whales,dolphins,porpoises,manatees,dugongs,seals, sea lions, walruses,salted,in brine,dried or smoked"
2109201,"Meat, edible offal, & meals of whales,dolphins,porpoises,manatees,dugongs,seals, sea lions, walruses,salted,in brine,dried or smoked"
2109300,"Meat and edible offal of reptiles, salted, in brine, dried or smoked; edible flours and meals thereof"
2109300,"Meat and edible offal of reptiles, salted, in brine, dried or smoked; edible flours and meals thereof"
2109920,"Meat and edible offal of poultry of heading 0105, in brine, dried or smoked; edible flours and meals thereof"
2109920,"Meat and edible offal of poultry of heading 0105, in brine, dried or smoked; edible flours and meals thereof"
2109991,"Meat and edible offal not elsewhere specified or included, salted, in brine, dried or smoked; edible flours and meals thereof"
2109991,"Meat and edible offal not elsewhere specified or included, salted, in brine, dried or smoked; edible flours and meals thereof"
3011100,Live ornamental freshwater fish
3011900,"Live ornamental fish, other than freshwater"
3019100,Live trout
3019200,Live eels
3019302,Live carp
3019401,"Other live Fish, Atlantic & Pacific Bluefin Tunas"
3019500,"Other live Fish, Southern Bluefin Tunas"
3019903,"Live Tench (Tinca Tinca), sheatfish (Silurus Glanis), bighead carp (Aristichthys Nobilis) and other fish, NESOI"
3021100,"Trout, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3021300,"Pacific salmon, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3021400,"Atlantic and Danube salmon, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3021900,"Salmonidae other than trout or Pacific, Atlantic & Danube salmon, fresh or chilled, excluding fillets, other meat portions, livers & roes"
3022100,"Halibut and Greenland turbot, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3022200,"Plaice, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3022300,"Sole, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3022300,"Sole, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3022300,"Sole, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3022400,Turbots
3022901,"Flat fish, nesoi, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3023100,"Albacore or longfinned tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3023200,"Yellowfin tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3023300,"Skipjack or stripe-bellied bonito, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3023400,"Bigeye tunas (Thunnas obesus), fresh or chilled, excluding fillets, other meat portions, livers and roes"
3023501,"Atlantic & Pacific bluefin tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3023600,"Southern bluefin tunas (Thunnas maccoyii), fresh or chilled, excluding fillets, other meat portions, livers and roes"
3023902,"Tunas not elsewhere specified or included, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3024100,"Herrings, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3024200,"Anchovies, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg"
3024300,"Sardines, sardinella, brisling or sprats, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3024400,"Mackerel, excl. fillets, livers & roes, fresh or chilled"
3024511,"Jack & horse mackerel, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg"
3024511,"Jack & horse mackerel, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg"
3024511,"Jack & horse mackerel, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg"
3024550,"Jack & horse mackerel excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers > 6.8 kg"
3024611,"Cobia, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3024611,"Cobia, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3024611,"Cobia, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3024650,"Cobia, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3024700,"Swordfish, fresh or chilled, excluding livers and roes"
3024900,"Herrings, anchovies, sardines, nesoi"
3025100,"Cod, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3025200,"Haddock, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3025300,"Coalfish, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3025411,"Hake, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3025411,"Hake, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3025411,"Hake, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3025450,"Hake,excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3025511,"Alaska pollack, excl. fillets, livers,roes, fresh or chilled, scaled, in immediate containers weighing with their contents< 6.8 kg"
3025511,"Alaska pollack, excl. fillets, livers,roes, fresh or chilled, scaled, in immediate containers weighing with their contents< 6.8 kg"
3025511,"Alaska pollack, excl. fillets, livers,roes, fresh or chilled, scaled, in immediate containers weighing with their contents< 6.8 kg"
3025550,"Alaska pollack excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3025611,"Blue whitings, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg"
3025611,"Blue whitings, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg"
3025611,"Blue whitings, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg"
3025650,"Blue whitings, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3025911,"Bregmacerotidae et al fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing < 6.8 kg"
3025911,"Bregmacerotidae et al fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing < 6.8 kg"
3025911,"Bregmacerotidae et al fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing < 6.8 kg"
3025950,"Bregmacerotidae fish, etc. excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers > 6.8 kg"
3027111,"Tilapias, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg"
3027111,"Tilapias, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg"
3027111,"Tilapias, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg"
3027150,"Tilapias, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3027211,"Catfish, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3027211,"Catfish, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3027211,"Catfish, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3027250,"Catfish excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3027311,"Carp, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3027311,"Carp, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3027311,"Carp, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3027350,"Carp excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3027400,"Eels, fresh or chilled, excluding fillets, other meat portions, livers and roes"
3027911,"Fish beginning  0302.7, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers < 6.8 kg"
3027911,"Fish beginning  0302.7, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers < 6.8 kg"
3027911,"Fish beginning  0302.7, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers < 6.8 kg"
3027950,"Fish beginning 0302.7, nesoi, excl. fillets, livers & roes, fresh or chilled,not scaled,or scaled in containers>6.8 kg"
3028100,"Dogfish and other sharks, fresh or chilled, excluding fillets, livers, roes and fish meat of 0304"
3028200,"Rays & skates, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3028300,"Toothfish excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3028411,"Seabass, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3028411,"Seabass, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3028411,"Seabass, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3028450,"Seabass, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3028511,"Seabream, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3028511,"Seabream, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3028511,"Seabream, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3028550,"Seabream, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3028911,"Fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3028911,"Fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3028911,"Fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less"
3028950,"Fish, nesoi, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg"
3029120,"Sturgeon Roe, fresh or chilled"
3029120,"Sturgeon Roe, fresh or chilled"
3029120,"Sturgeon Roe, fresh or chilled"
3029140,"Mullet and other fish liver and roes, fresh or chilled"
3029200,"Shark fins, fresh or chilled, excluding fillet"
3029900,"Other fish, fresh or chilled, nesoi"
3031100,"Sockeye salmon (red salmon) (Orncorhynchus nerka), frozen, excluding fillets, other meat portions, livers and roes"
3031200,"Pacific salmon, other than sockeye, frozen, excluding fillets, other meat portions, livers and roes"
3031300,"Atlantic salmon and Danube salmon, frozen, excluding livers and roes"
3031400,"Trout, frozen, excluding fillets, other meat portions, livers and roes"
3031901,"Salmonidae, other than trout or Atlantic and Danube salmon, nesoi, frozen, excluding fillets, other meat portions, livers and roes"
